,Year,Quater,Transaction_type,Total_Transaction,Transaction_amount,state_name
106,2022,2,Peer-to-peer payments,136341691,464333108374.5711,Tamil Nadu
107,2022,2,Recharge & bill payments,38257271,24477663683.793488,Tamil Nadu
108,2022,2,Financial Services,202498,233054908.96978933,Tamil Nadu
109,2022,2,Others,459948,277767177.03123105,Tamil Nadu
110,2022,3,Merchant payments,202149276,109801011246.16069,Tamil Nadu
111,2022,3,Peer-to-peer payments,148805657,493880482824.984,Tamil Nadu
112,2022,3,Recharge & bill payments,41919063,27694221703.16715,Tamil Nadu
113,2022,3,Financial Services,217741,238069828.1652185,Tamil Nadu
114,2022,3,Others,404438,265434770.79138052,Tamil Nadu
115,2022,4,Merchant payments,229308285,118847998736.56468,Tamil Nadu
116,2022,4,Peer-to-peer payments,162920305,526511418812.7734,Tamil Nadu
117,2022,4,Recharge & bill payments,43391904,29719449171.386997,Tamil Nadu
118,2022,4,Financial Services,295740,334812023.56560165,Tamil Nadu
119,2022,4,Others,400402,275988847.1474179,Tamil Nadu
120,2019,1,Peer-to-peer payments,18645926,51296299081.44436,Tamil Nadu
121,2019,1,Recharge & bill payments,8863289,2695317014.8660007,Tamil Nadu
122,2019,1,Merchant payments,4195222,1924461188.9900146,Tamil Nadu
123,2019,1,Financial Services,193261,31217137.545322973,Tamil Nadu
124,2019,1,Others,377347,256742393.28426796,Tamil Nadu
125,2019,2,Peer-to-peer payments,16952961,57924128549.06981,Tamil Nadu
126,2019,2,Recharge & bill payments,8414514,3280033639.8500404,Tamil Nadu
127,2019,2,Merchant payments,6296995,2690331792.5060787,Tamil Nadu
128,2019,2,Financial Services,70142,18334602.389631532,Tamil Nadu
129,2019,2,Others,437125,294847441.9421142,Tamil Nadu
130,2019,3,Peer-to-peer payments,21277636,70615331408.53966,Tamil Nadu
131,2019,3,Merchant payments,10344027,4079315732.661683,Tamil Nadu
132,2019,3,Recharge & bill payments,9246678,3964144354.4161515,Tamil Nadu
133,2019,3,Financial Services,88261,27213741.831077334,Tamil Nadu
134,2019,3,Others,453581,273599406.1898495,Tamil Nadu
135,2019,4,Peer-to-peer payments,28814008,91858026341.27563,Tamil Nadu
136,2019,4,Merchant payments,16153034,6420193204.780616,Tamil Nadu
137,2019,4,Recharge & bill payments,11157765,4681454397.562926,Tamil Nadu
138,2019,4,Financial Services,60624,24332240.65556671,Tamil Nadu
139,2019,4,Others,410980,206859328.2685905,Tamil Nadu
140,2021,1,Peer-to-peer payments,57446279,206405230307.9611,Tamil Nadu
141,2021,1,Merchant payments,53811885,30722779534.582508,Tamil Nadu
142,2021,1,Recharge & bill payments,24826273,11115915388.739548,Tamil Nadu
143,2021,1,Financial Services,170620,215319360.4840321,Tamil Nadu
144,2021,1,Others,301617,208899281.88347316,Tamil Nadu
145,2021,2,Peer-to-peer payments,60812902,216379027686.30246,Tamil Nadu
146,2021,2,Merchant payments,52048347,33504798112.88382,Tamil Nadu
147,2021,2,Recharge & bill payments,32753032,13155346942.255478,Tamil Nadu
148,2021,2,Financial Services,192614,225113402.6634022,Tamil Nadu
149,2021,2,Others,351547,223054882.44675264,Tamil Nadu
150,2021,3,Merchant payments,85074941,52932187058.575195,Tamil Nadu
151,2021,3,Peer-to-peer payments,83833356,296121079294.8346,Tamil Nadu
152,2021,3,Recharge & bill payments,34751691,15613287081.611631,Tamil Nadu
153,2021,3,Financial Services,182097,246146707.2790811,Tamil Nadu
154,2021,3,Others,515319,294622911.6328684,Tamil Nadu
155,2021,4,Merchant payments,117578360,70539086832.13815,Tamil Nadu
156,2021,4,Peer-to-peer payments,104493071,353529424598.23047,Tamil Nadu
157,2021,4,Recharge & bill payments,36163870,18979178477.53405,Tamil Nadu
158,2021,4,Financial Services,228761,275850497.094934,Tamil Nadu
159,2021,4,Others,691914,400412189.80491126,Tamil Nadu
160,2020,1,Peer-to-peer payments,30880360,101907683045.28436,Tamil Nadu
161,2020,1,Merchant payments,21541556,8950736938.223478,Tamil Nadu
162,2020,1,Recharge & bill payments,14134259,5493239429.7322235,Tamil Nadu
163,2020,1,Financial Services,61427,41422107.813630365,Tamil Nadu
164,2020,1,Others,335871,176604658.386683,Tamil Nadu
165,2020,2,Peer-to-peer payments,21700844,82347647064.12332,Tamil Nadu
166,2020,2,Recharge & bill payments,18474731,6414781159.484189,Tamil Nadu
167,2020,2,Merchant payments,11477546,6909361871.628206,Tamil Nadu
168,2020,2,Financial Services,78584,89189349.84916353,Tamil Nadu
169,2020,2,Others,138405,65529451.74366937,Tamil Nadu
170,2020,3,Peer-to-peer payments,31754077,123561080533.04672,Tamil Nadu
