,Year,Quater,brand,user_count,percentage_share,state_name
171,2018,3,Motorola,390,0.03210140752325294,Andaman and Nicobar
172,2018,3,Apple,371,0.03053749279776113,Andaman and Nicobar
173,2018,3,Huawei,314,0.0258457486212857,Andaman and Nicobar
174,2018,3,Lenovo,299,0.024611079101160588,Andaman and Nicobar
175,2018,3,Others,1145,0.09424644003621697,Andaman and Nicobar
176,2018,4,Xiaomi,3719,0.24431743529102615,Andaman and Nicobar
177,2018,4,Samsung,2936,0.19287872815661541,Andaman and Nicobar
178,2018,4,Vivo,2742,0.1801340165549862,Andaman and Nicobar
179,2018,4,Oppo,1268,0.08330048613848377,Andaman and Nicobar
180,2018,4,Realme,760,0.04992773617133097,Andaman and Nicobar
181,2018,4,OnePlus,721,0.0473656549730653,Andaman and Nicobar
182,2018,4,Motorola,474,0.031139140717382736,Andaman and Nicobar
183,2018,4,Apple,455,0.02989094731309946,Andaman and Nicobar
184,2018,4,Huawei,398,0.02614636710024964,Andaman and Nicobar
185,2018,4,Lenovo,377,0.024766784916568124,Andaman and Nicobar
186,2018,4,Others,1372,0.09013270266719223,Andaman and Nicobar
187,2022,1,Xiaomi,4978558,0.2297758528860914,Tamil Nadu
188,2022,1,Vivo,4823657,0.2226266925493215,Tamil Nadu
189,2022,1,Samsung,3775700,0.1742602351407808,Tamil Nadu
190,2022,1,Oppo,2599406,0.11997062817129443,Tamil Nadu
191,2022,1,Realme,1468106,0.0677576334909,Tamil Nadu
192,2022,1,Apple,624113,0.028804745645686393,Tamil Nadu
193,2022,1,OnePlus,549762,0.02537321699061523,Tamil Nadu
194,2022,1,Motorola,495397,0.022864104062302985,Tamil Nadu
195,2022,1,Huawei,485896,0.022425603520927196,Tamil Nadu
196,2022,1,Lenovo,331152,0.015283689219837337,Tamil Nadu
197,2022,1,Others,1535273,0.07085759832224274,Tamil Nadu
198,2019,1,Xiaomi,1539941,0.24457860430160366,Tamil Nadu
199,2019,1,Samsung,1181910,0.18771491778588165,Tamil Nadu
200,2019,1,Vivo,982792,0.15609032792735675,Tamil Nadu
201,2019,1,Oppo,574119,0.09118350879873476,Tamil Nadu
202,2019,1,Motorola,263727,0.041886008344896995,Tamil Nadu
203,2019,1,Realme,239102,0.03797498309722388,Tamil Nadu
204,2019,1,Apple,223033,0.035422850520376796,Tamil Nadu
205,2019,1,Lenovo,220455,0.035013403897493495,Tamil Nadu
206,2019,1,OnePlus,209025,0.03319805288913193,Tamil Nadu
207,2019,1,Huawei,206764,0.0328389532714674,Tamil Nadu
208,2019,1,Others,655435,0.10409838916583271,Tamil Nadu
209,2019,2,Xiaomi,1811254,0.24378860314183426,Tamil Nadu
210,2019,2,Samsung,1396893,0.18801702754478736,Tamil Nadu
211,2019,2,Vivo,1196063,0.16098599535991734,Tamil Nadu
212,2019,2,Oppo,697196,0.09384020074273088,Tamil Nadu
213,2019,2,Motorola,303963,0.04091238179559651,Tamil Nadu
214,2019,2,Realme,281300,0.03786201938756131,Tamil Nadu
215,2019,2,Apple,254300,0.03422791158996388,Tamil Nadu
216,2019,2,Lenovo,251562,0.03385938613997049,Tamil Nadu
217,2019,2,Huawei,248271,0.03341642877841889,Tamil Nadu
218,2019,2,OnePlus,232848,0.031340545646480186,Tamil Nadu
219,2019,2,Others,755959,0.10174949987273893,Tamil Nadu
220,2019,3,Xiaomi,2046907,0.24284577880573058,Tamil Nadu
221,2019,3,Samsung,1578951,0.1873273115442407,Tamil Nadu
222,2019,3,Vivo,1404873,0.16667463534403035,Tamil Nadu
223,2019,3,Oppo,809503,0.09603972553739633,Tamil Nadu
224,2019,3,Motorola,331659,0.03934814241825828,Tamil Nadu
225,2019,3,Realme,325676,0.03863831715770922,Tamil Nadu
226,2019,3,Huawei,287625,0.034123932904132064,Tamil Nadu
227,2019,3,Apple,280108,0.03323211333476097,Tamil Nadu
228,2019,3,Lenovo,263109,0.031215345892997074,Tamil Nadu
229,2019,3,OnePlus,253980,0.03013227806689774,Tamil Nadu
230,2019,3,Others,846444,0.10042241899384671,Tamil Nadu
231,2019,4,Xiaomi,2321854,0.2413445963735954,Tamil Nadu
232,2019,4,Samsung,1803401,0.18745411487748082,Tamil Nadu
233,2019,4,Vivo,1661144,0.17266724272862108,Tamil Nadu
234,2019,4,Oppo,954430,0.09920801356021984,Tamil Nadu
235,2019,4,Realme,385827,0.04010470149502733,Tamil Nadu
236,2019,4,Motorola,364512,0.03788911857219791,Tamil Nadu
237,2019,4,Huawei,329271,0.03422600068416452,Tamil Nadu
238,2019,4,Apple,306135,0.03182113432232631,Tamil Nadu
239,2019,4,Lenovo,283182,0.02943528985468832,Tamil Nadu
240,2019,4,OnePlus,275013,0.028586164970963546,Tamil Nadu
241,2019,4,Others,935724,0.09726362256071493,Tamil Nadu
242,2021,1,Xiaomi,3887022,0.23369888835232575,Tamil Nadu
243,2021,1,Vivo,3309321,0.1989658506952127,Tamil Nadu
244,2021,1,Samsung,3143951,0.18902333296137322,Tamil Nadu
245,2021,1,Oppo,1825392,0.1097477918075145,Tamil Nadu
246,2021,1,Realme,782154,0.04702533721710991,Tamil Nadu
247,2021,1,Huawei,522223,0.03139754150401428,Tamil Nadu
248,2021,1,Motorola,518191,0.03115512612333556,Tamil Nadu
249,2021,1,Apple,449432,0.027021138236408865,Tamil Nadu
250,2021,1,Lenovo,389630,0.023425670826848082,Tamil Nadu
251,2021,1,OnePlus,369966,0.022243414863141128,Tamil Nadu
252,2021,1,Others,1435326,0.08629590741271603,Tamil Nadu
253,2021,2,Xiaomi,4159447,0.23361718599669679,Tamil Nadu
254,2021,2,Vivo,3648711,0.20493147198057665,Tamil Nadu
255,2021,2,Samsung,3335419,0.1873352878158843,Tamil Nadu
256,2021,2,Oppo,1982731,0.11136096620738686,Tamil Nadu
257,2021,2,Realme,924040,0.05189911652880484,Tamil Nadu
258,2021,2,Huawei,515007,0.02892559662584974,Tamil Nadu
259,2021,2,Motorola,513680,0.028851065082157127,Tamil Nadu
260,2021,2,Apple,481336,0.027034449973495526,Tamil Nadu
261,2021,2,OnePlus,400480,0.022493136863616037,Tamil Nadu
262,2021,2,Lenovo,375748,0.021104053111840788,Tamil Nadu
263,2021,2,Others,1467943,0.08244766981369137,Tamil Nadu
264,2021,3,Xiaomi,4464525,0.23340943691366958,Tamil Nadu
265,2021,3,Vivo,4059800,0.21225004496158398,Tamil Nadu
266,2021,3,Samsung,3487967,0.18235409443187378,Tamil Nadu
267,2021,3,Oppo,2182951,0.11412666828388954,Tamil Nadu
268,2021,3,Realme,1086229,0.05678904233917346,Tamil Nadu
269,2021,3,Apple,516731,0.027015167738076815,Tamil Nadu
270,2021,3,Huawei,514394,0.02689298724764004,Tamil Nadu
271,2021,3,Motorola,504404,0.02637070094063816,Tamil Nadu
272,2021,3,OnePlus,454175,0.02374468303128908,Tamil Nadu
273,2021,3,Lenovo,358008,0.018716984604317147,Tamil Nadu
274,2021,3,Others,1498256,0.07833018950784841,Tamil Nadu
275,2021,4,Xiaomi,4737458,0.23185166529944343,Tamil Nadu
276,2021,4,Vivo,4457962,0.21817310328484968,Tamil Nadu
277,2021,4,Samsung,3636646,0.17797781662751622,Tamil Nadu
278,2021,4,Oppo,2390692,0.11700070405226959,Tamil Nadu
279,2021,4,Realme,1288203,0.06304478283369244,Tamil Nadu
280,2021,4,Apple,575168,0.02814877907665889,Tamil Nadu
281,2021,4,OnePlus,507178,0.02482134172023079,Tamil Nadu
282,2021,4,Motorola,501002,0.02451908766649789,Tamil Nadu
283,2021,4,Huawei,493892,0.02417112355994981,Tamil Nadu
284,2021,4,Lenovo,336045,0.01644607569408562,Tamil Nadu
285,2021,4,Others,1508896,0.07384552018480564,Tamil Nadu
286,2020,1,Xiaomi,2602334,0.23935300939041063,Tamil Nadu
287,2020,1,Samsung,2037120,0.18736672636540633,Tamil Nadu
288,2020,1,Vivo,1937792,0.17823090609147887,Tamil Nadu
289,2020,1,Oppo,1109430,0.10204124805194231,Tamil Nadu
290,2020,1,Realme,450799,0.041462816563972084,Tamil Nadu
291,2020,1,Motorola,395956,0.03641856125546891,Tamil Nadu
292,2020,1,Huawei,370773,0.034102322511526464,Tamil Nadu
293,2020,1,Apple,333073,0.030634816628723385,Tamil Nadu
294,2020,1,Lenovo,308388,0.028364382073895952,Tamil Nadu
295,2020,1,OnePlus,293970,0.027038268020361342,Tamil Nadu
296,2020,1,Others,1032733,0.09498694304681372,Tamil Nadu
297,2020,2,Xiaomi,2891155,0.23793975138727652,Tamil Nadu
298,2020,2,Samsung,2285005,0.18805408966959009,Tamil Nadu
299,2020,2,Vivo,2216953,0.18245346432732829,Tamil Nadu
300,2020,2,Oppo,1270624,0.10457134213375167,Tamil Nadu
301,2020,2,Realme,512202,0.0421538162222592,Tamil Nadu
302,2020,2,Motorola,430995,0.035470544868455425,Tamil Nadu
303,2020,2,Huawei,410511,0.03378472800031208,Tamil Nadu
304,2020,2,Apple,352063,0.028974504200798203,Tamil Nadu
305,2020,2,Lenovo,331665,0.02729576506408721,Tamil Nadu
306,2020,2,OnePlus,305910,0.025176149098502763,Tamil Nadu
307,2020,2,Others,1143703,0.09412584502763854,Tamil Nadu
308,2020,3,Xiaomi,3217633,0.23583717931775472,Tamil Nadu
309,2020,3,Vivo,2577603,0.18892602758642224,Tamil Nadu
310,2020,3,Samsung,2574986,0.1887342139463102,Tamil Nadu
311,2020,3,Oppo,1456520,0.10675598131293908,Tamil Nadu
312,2020,3,Realme,592254,0.04340939839927596,Tamil Nadu
313,2020,3,Motorola,466225,0.03417207274024732,Tamil Nadu
314,2020,3,Huawei,452345,0.03315473482478883,Tamil Nadu
315,2020,3,Apple,378323,0.02772927465345828,Tamil Nadu
316,2020,3,Lenovo,357461,0.02620018938023818,Tamil Nadu
317,2020,3,OnePlus,324336,0.023772284592805736,Tamil Nadu
318,2020,3,Others,1245765,0.09130864324575945,Tamil Nadu
319,2020,4,Xiaomi,3595631,0.23412735569248969,Tamil Nadu
320,2020,4,Vivo,2971084,0.1934603524277839,Tamil Nadu
321,2020,4,Samsung,2918795,0.19005558555882415,Tamil Nadu
322,2020,4,Oppo,1665487,0.10844718694721944,Tamil Nadu
323,2020,4,Realme,690401,0.04495504697157483,Tamil Nadu
324,2020,4,Motorola,503120,0.032760356998814785,Tamil Nadu
325,2020,4,Huawei,497653,0.0324043765732453,Tamil Nadu
326,2020,4,Apple,417632,0.02719385715958224,Tamil Nadu
327,2020,4,Lenovo,385136,0.02507789961260839,Tamil Nadu
328,2020,4,OnePlus,347722,0.022641709445742318,Tamil Nadu
329,2020,4,Others,1364925,0.08887627261211495,Tamil Nadu
330,2018,1,Xiaomi,503469,0.23920562688086114,Tamil Nadu
331,2018,1,Samsung,408997,0.1943205714302004,Tamil Nadu
332,2018,1,Vivo,256682,0.12195344444053795,Tamil Nadu
333,2018,1,Oppo,160460,0.07623693790343194,Tamil Nadu
334,2018,1,Motorola,100336,0.04767112926261216,Tamil Nadu
335,2018,1,OnePlus,93643,0.04449118519313896,Tamil Nadu
336,2018,1,Apple,93282,0.044319668711877966,Tamil Nadu
337,2018,1,Lenovo,92559,0.043976160634449445,Tamil Nadu
338,2018,1,Realme,82612,0.0392501926590946,Tamil Nadu
339,2018,1,Huawei,59799,0.028411396296194234,Tamil Nadu
340,2018,1,Others,252915,0.12016368658760121,Tamil Nadu
341,2018,2,Xiaomi,723469,0.24147540283227573,Tamil Nadu
342,2018,2,Samsung,574902,0.1918875474126479,Tamil Nadu
343,2018,2,Vivo,390299,0.13027179913726003,Tamil Nadu
344,2018,2,Oppo,240094,0.08013722131509768,Tamil Nadu
345,2018,2,Motorola,139685,0.04662327154947404,Tamil Nadu
346,2018,2,Lenovo,127831,0.04266671027984977,Tamil Nadu
347,2018,2,Apple,123693,0.04128555197601097,Tamil Nadu
348,2018,2,OnePlus,119948,0.04003556699585719,Tamil Nadu
349,2018,2,Realme,116217,0.03879025485675072,Tamil Nadu
350,2018,2,Huawei,86507,0.028873818605650935,Tamil Nadu
351,2018,2,Others,353391,0.11795285503912503,Tamil Nadu
352,2018,3,Xiaomi,948490,0.24319152694864873,Tamil Nadu
353,2018,3,Samsung,739663,0.1896485723596647,Tamil Nadu
354,2018,3,Vivo,545491,0.13986313954469246,Tamil Nadu
355,2018,3,Oppo,327387,0.0839415749592903,Tamil Nadu
356,2018,3,Motorola,177191,0.04543152785117188,Tamil Nadu
357,2018,3,Lenovo,153372,0.039324369124785874,Tamil Nadu
358,2018,3,Apple,150205,0.038512354695697144,Tamil Nadu
359,2018,3,Realme,149904,0.03843517871112003,Tamil Nadu
360,2018,3,OnePlus,145542,0.03731676793130158,Tamil Nadu
361,2018,3,Huawei,118152,0.030294009733404407,Tamil Nadu
362,2018,3,Others,444780,0.11404097814022286,Tamil Nadu
363,2018,4,Xiaomi,1270630,0.24435765608346965,Tamil Nadu
364,2018,4,Samsung,978019,0.1880849896862965,Tamil Nadu
365,2018,4,Vivo,776632,0.14935581180943092,Tamil Nadu
366,2018,4,Oppo,457237,0.08793225533368283,Tamil Nadu
367,2018,4,Motorola,228639,0.043970070067028494,Tamil Nadu
368,2018,4,Realme,198871,0.038245320370977935,Tamil Nadu
369,2018,4,Lenovo,194451,0.037395300428202355,Tamil Nadu
370,2018,4,Apple,191032,0.03673778500187889,Tamil Nadu
371,2018,4,OnePlus,180637,0.034738699638722295,Tamil Nadu
372,2018,4,Huawei,164880,0.031708436236388624,Tamil Nadu
373,2018,4,Others,558850,0.10747367534392153,Tamil Nadu
374,2022,1,Vivo,1441,0.24056761268781301,Lakshadweep
375,2022,1,Xiaomi,1203,0.2008347245409015,Lakshadweep
376,2022,1,Oppo,956,0.1595993322203673,Lakshadweep
377,2022,1,Samsung,804,0.1342237061769616,Lakshadweep
378,2022,1,Realme,507,0.08464106844741236,Lakshadweep
379,2022,1,Huawei,397,0.06627712854757929,Lakshadweep
380,2022,1,Apple,176,0.02938230383973289,Lakshadweep
381,2022,1,OnePlus,160,0.02671118530884808,Lakshadweep
382,2022,1,Lenovo,50,0.008347245409015025,Lakshadweep
383,2022,1,Motorola,49,0.008180300500834724,Lakshadweep
384,2022,1,Others,247,0.04123539232053423,Lakshadweep
385,2019,1,Xiaomi,298,0.21045197740112995,Lakshadweep
386,2019,1,Vivo,240,0.1694915254237288,Lakshadweep
387,2019,1,Samsung,231,0.163135593220339,Lakshadweep
388,2019,1,Oppo,198,0.13983050847457626,Lakshadweep
389,2019,1,Huawei,97,0.06850282485875706,Lakshadweep
390,2019,1,Realme,67,0.04731638418079096,Lakshadweep
391,2019,1,Apple,55,0.03884180790960452,Lakshadweep
392,2019,1,OnePlus,52,0.03672316384180791,Lakshadweep
393,2019,1,Lenovo,31,0.021892655367231638,Lakshadweep
394,2019,1,Motorola,24,0.01694915254237288,Lakshadweep
395,2019,1,Others,123,0.08686440677966102,Lakshadweep
396,2019,2,Xiaomi,377,0.21579851173440184,Lakshadweep
397,2019,2,Vivo,309,0.17687464224384658,Lakshadweep
398,2019,2,Samsung,277,0.15855752718946767,Lakshadweep
399,2019,2,Oppo,246,0.14081282198053807,Lakshadweep
400,2019,2,Huawei,132,0.0755580995993131,Lakshadweep
401,2019,2,Realme,86,0.04922724670864339,Lakshadweep
402,2019,2,OnePlus,58,0.03319977103606182,Lakshadweep
403,2019,2,Apple,57,0.03262736119061248,Lakshadweep
404,2019,2,Lenovo,36,0.0206067544361763,Lakshadweep
405,2019,2,Motorola,32,0.018317115054378934,Lakshadweep
406,2019,2,Others,137,0.07842014882655982,Lakshadweep
407,2019,3,Xiaomi,442,0.20878601794992915,Lakshadweep
408,2019,3,Vivo,378,0.17855455833726971,Lakshadweep
409,2019,3,Samsung,343,0.1620217288615966,Lakshadweep
410,2019,3,Oppo,331,0.15635333018422296,Lakshadweep
411,2019,3,Huawei,174,0.0821917808219178,Lakshadweep
412,2019,3,Realme,103,0.04865375531412376,Lakshadweep
