,Year,Quater,registeredUsers,appOpenings,state_name
244,2019,1,2226590,0,Punjab
245,2019,2,2600112,10928094,Punjab
246,2019,3,2962713,40860886,Punjab
247,2019,4,3321742,47673880,Punjab
248,2021,1,5568777,81052268,Punjab
249,2021,2,5976548,85894089,Punjab
250,2021,3,6434862,107614155,Punjab
251,2021,4,6880103,138427499,Punjab
252,2020,1,3739502,53853710,Punjab
253,2020,2,4225481,51289576,Punjab
254,2020,3,4694233,58946732,Punjab
255,2020,4,5157868,71191183,Punjab
256,2018,1,847142,0,Punjab
257,2018,2,1152190,0,Punjab
258,2018,3,1473148,0,Punjab
259,2018,4,1865715,0,Punjab
260,2022,1,335339,41418559,Arunachal Pradesh
261,2022,2,354528,49889518,Arunachal Pradesh
262,2022,3,373372,59722628,Arunachal Pradesh
263,2022,4,390307,21775038,Arunachal Pradesh
264,2019,1,76957,0,Arunachal Pradesh
265,2019,2,95885,502873,Arunachal Pradesh
266,2019,3,112149,1811700,Arunachal Pradesh
267,2019,4,129321,2140340,Arunachal Pradesh
268,2021,1,251240,4796708,Arunachal Pradesh
269,2021,2,270572,13025849,Arunachal Pradesh
270,2021,3,293073,17209654,Arunachal Pradesh
271,2021,4,314944,11230295,Arunachal Pradesh
272,2020,1,149066,2598321,Arunachal Pradesh
273,2020,2,177534,3387006,Arunachal Pradesh
274,2020,3,206046,4003421,Arunachal Pradesh
275,2020,4,231292,4472667,Arunachal Pradesh
276,2018,1,21495,0,Arunachal Pradesh
277,2018,2,32883,0,Arunachal Pradesh
278,2018,3,45922,0,Arunachal Pradesh
279,2018,4,61852,0,Arunachal Pradesh
280,2022,1,31200349,1727054045,Karnataka
281,2022,2,32831447,2065359837,Karnataka
282,2022,3,34493994,2148016434,Karnataka
283,2022,4,36081698,3011645011,Karnataka
284,2019,1,10266174,0,Karnataka
285,2019,2,11968087,113024811,Karnataka
286,2019,3,13635075,445683660,Karnataka
287,2019,4,15385416,569674870,Karnataka
288,2021,1,24095832,1084917385,Karnataka
289,2021,2,25751023,1051089714,Karnataka
290,2021,3,27614221,1366781087,Karnataka
291,2021,4,29459646,1941558513,Karnataka
292,2020,1,17016980,626488036,Karnataka
293,2020,2,18655366,490510075,Karnataka
294,2020,3,20487550,693683212,Karnataka
295,2020,4,22400182,935510690,Karnataka
296,2018,1,3717763,0,Karnataka
297,2018,2,5030665,0,Karnataka
298,2018,3,6372649,0,Karnataka
299,2018,4,8315802,0,Karnataka
300,2022,1,1549320,62115857,Jammu and Kashmir
301,2022,2,1635570,89986310,Jammu and Kashmir
302,2022,3,1719185,109346235,Jammu and Kashmir
303,2022,4,1793434,60205865,Jammu and Kashmir
304,2019,1,530669,0,Jammu and Kashmir
305,2019,2,631193,2705373,Jammu and Kashmir
306,2019,3,658455,3843919,Jammu and Kashmir
307,2019,4,673367,998572,Jammu and Kashmir
308,2021,1,1174818,18834009,Jammu and Kashmir
309,2021,2,1261267,34274559,Jammu and Kashmir
310,2021,3,1359860,45025197,Jammu and Kashmir
311,2021,4,1456810,36012148,Jammu and Kashmir
312,2020,1,735408,4476894,Jammu and Kashmir
313,2020,2,845294,9856653,Jammu and Kashmir
314,2020,3,949819,11443454,Jammu and Kashmir
315,2020,4,1079022,16018751,Jammu and Kashmir
316,2018,1,176425,0,Jammu and Kashmir
317,2018,2,261609,0,Jammu and Kashmir
318,2018,3,342529,0,Jammu and Kashmir
319,2018,4,436563,0,Jammu and Kashmir
320,2022,1,48227630,2157769514,Maharashtra
321,2022,2,50802786,2492946019,Maharashtra
322,2022,3,53432602,2638663712,Maharashtra
323,2022,4,55954028,2982202696,Maharashtra
324,2019,1,16284451,0,Maharashtra
325,2019,2,18776975,109967705,Maharashtra
326,2019,3,21313081,439998413,Maharashtra
327,2019,4,23745297,543654112,Maharashtra
328,2021,1,37077537,1101976484,Maharashtra
329,2021,2,39664697,1208083592,Maharashtra
330,2021,3,42581217,1565370852,Maharashtra
331,2021,4,45482506,2031739248,Maharashtra
332,2020,1,26168390,615146568,Maharashtra
333,2020,2,28765086,506354812,Maharashtra
334,2020,3,31409513,668197101,Maharashtra
335,2020,4,34432631,952006770,Maharashtra
336,2018,1,6106994,0,Maharashtra
337,2018,2,8222371,0,Maharashtra
338,2018,3,10435033,0,Maharashtra
339,2018,4,13381602,0,Maharashtra
340,2022,1,12124779,613855465,Orissa
341,2022,2,12801990,670311093,Orissa
342,2022,3,13493282,725475924,Orissa
343,2022,4,14127239,726099254,Orissa
344,2019,1,4320744,0,Orissa
345,2019,2,4845359,33955545,Orissa
346,2019,3,5387209,130181456,Orissa
347,2019,4,6115537,189905719,Orissa
348,2021,1,9233009,301315474,Orissa
349,2021,2,9891029,367576494,Orissa
350,2021,3,10652490,492879704,Orissa
351,2021,4,11399235,567351446,Orissa
352,2020,1,6652970,175918622,Orissa
353,2020,2,7258315,154682772,Orissa
354,2020,3,7901755,205597666,Orissa
355,2020,4,8598751,270085293,Orissa
356,2018,1,1594015,0,Orissa
357,2018,2,2185781,0,Orissa
358,2018,3,2795718,0,Orissa
359,2018,4,3623911,0,Orissa
360,2022,1,19656147,1678266475,Madhya Pradesh
361,2022,2,20766417,1902866132,Madhya Pradesh
362,2022,3,21884220,2026371749,Madhya Pradesh
363,2022,4,22913924,1388282818,Madhya Pradesh
364,2019,1,6414403,0,Madhya Pradesh
365,2019,2,7301172,50642151,Madhya Pradesh
366,2019,3,8180664,192353380,Madhya Pradesh
367,2019,4,9165241,237844976,Madhya Pradesh
368,2021,1,14839427,482500276,Madhya Pradesh
369,2021,2,15940935,727741649,Madhya Pradesh
370,2021,3,17210233,929572924,Madhya Pradesh
371,2021,4,18456243,956630781,Madhya Pradesh
372,2020,1,10151371,262452480,Madhya Pradesh
373,2020,2,11374423,253770044,Madhya Pradesh
374,2020,3,12564224,324850994,Madhya Pradesh
375,2020,4,13737947,405571446,Madhya Pradesh
376,2018,1,2553603,0,Madhya Pradesh
377,2018,2,3441662,0,Madhya Pradesh
378,2018,3,4309309,0,Madhya Pradesh
379,2018,4,5365442,0,Madhya Pradesh
380,2022,1,23398857,2570606469,Rajasthan
381,2022,2,24716181,2771434947,Rajasthan
382,2022,3,26042948,3299787866,Rajasthan
383,2022,4,27255927,1537424924,Rajasthan
384,2019,1,7712204,0,Rajasthan
385,2019,2,8783935,62787336,Rajasthan
386,2019,3,9797304,238338999,Rajasthan
387,2019,4,10925031,288904693,Rajasthan
388,2021,1,17661088,632535059,Rajasthan
389,2021,2,18980985,1072091232,Rajasthan
390,2021,3,20499465,1429553825,Rajasthan
391,2021,4,21977202,1185124031,Rajasthan
392,2020,1,12142053,341815756,Rajasthan
393,2020,2,13563201,329941181,Rajasthan
394,2020,3,14969412,436682870,Rajasthan
395,2020,4,16329494,511015109,Rajasthan
396,2018,1,3158202,0,Rajasthan
397,2018,2,4212964,0,Rajasthan
398,2018,3,5175453,0,Rajasthan
399,2018,4,6358738,0,Rajasthan
400,2022,1,23857951,1254785973,Andhra Pradesh
401,2022,2,25157264,1378736856,Andhra Pradesh
402,2022,3,26496330,1357005703,Andhra Pradesh
403,2022,4,27778016,1673374802,Andhra Pradesh
404,2019,1,8283019,0,Andhra Pradesh
405,2019,2,9389003,81375251,Andhra Pradesh
406,2019,3,10458693,310953542,Andhra Pradesh
407,2019,4,11757883,411201518,Andhra Pradesh
408,2021,1,18363733,957709447,Andhra Pradesh
409,2021,2,19620905,1044705436,Andhra Pradesh
410,2021,3,21059898,1258536879,Andhra Pradesh
411,2021,4,22489029,1447717601,Andhra Pradesh
412,2020,1,13022060,486513773,Andhra Pradesh
413,2020,2,14319675,494341698,Andhra Pradesh
414,2020,3,15692405,696300382,Andhra Pradesh
415,2020,4,17076565,869078538,Andhra Pradesh
416,2018,1,3336450,0,Andhra Pradesh
417,2018,2,4402540,0,Andhra Pradesh
418,2018,3,5427617,0,Andhra Pradesh
419,2018,4,6857409,0,Andhra Pradesh
420,2022,1,541549,2321685,Chandigarh
421,2022,2,569582,2285979,Chandigarh
422,2022,3,598698,2173356,Chandigarh
423,2022,4,627563,15308862,Chandigarh
424,2019,1,209175,0,Chandigarh
425,2019,2,240439,1220176,Chandigarh
426,2019,3,267337,4625196,Chandigarh
427,2019,4,289590,4960441,Chandigarh
428,2021,1,419998,7919533,Chandigarh
429,2021,2,448572,4733924,Chandigarh
430,2021,3,480463,6378807,Chandigarh
431,2021,4,512092,11603954,Chandigarh
432,2020,1,312887,5201211,Chandigarh
433,2020,2,336351,3451250,Chandigarh
434,2020,3,362588,4888739,Chandigarh
435,2020,4,391402,6477974,Chandigarh
436,2018,1,86268,0,Chandigarh
437,2018,2,115219,0,Chandigarh
438,2018,3,143893,0,Chandigarh
439,2018,4,177747,0,Chandigarh
440,2022,1,8972299,94047893,Kerala
441,2022,2,9442533,98876392,Kerala
442,2022,3,9933977,104565833,Kerala
443,2022,4,10382102,346981849,Kerala
444,2019,1,2136624,0,Kerala
445,2019,2,2550167,8673220,Kerala
446,2019,3,2990963,31471694,Kerala
447,2019,4,3503938,40046033,Kerala
448,2021,1,6936943,108918733,Kerala
449,2021,2,7416083,87814415,Kerala
450,2021,3,7949425,116282717,Kerala
451,2021,4,8473810,213542857,Kerala
452,2020,1,4078316,46396398,Kerala
453,2020,2,4728844,45832953,Kerala
